date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:20:34	19188/19188	---M-Z	200	added ('OK')	application/javascript	etag:%22d13ab345bc56f48a2579328a925caa2d-ssl-df%22	https://zainx.netlify.com/js/popper.min.js	website/portfolio2/zainx.netlify.com/js/popper.min.js	(from https://zainx.netlify.com/index2.html)
21:20:35	48944/48944	---M-Z	200	added ('OK')	application/javascript	etag:%22c016f0f3655f621cec21e5dfed124d6c-ssl-df%22	https://zainx.netlify.com/js/bootstrap.min.js	website/portfolio2/zainx.netlify.com/js/bootstrap.min.js	(from https://zainx.netlify.com/index2.html)
21:20:36	1418/1418	---M-Z	200	added ('OK')	application/javascript	etag:%22a373559b1e5827a1a3f44efd82764729-ssl-df%22	https://zainx.netlify.com/js/scrollIt.min.js	website/portfolio2/zainx.netlify.com/js/scrollIt.min.js	(from https://zainx.netlify.com/index2.html)
21:20:37	5532/5532	---M-Z	200	added ('OK')	application/javascript	etag:%2233fd73d03b005c05d95eac216d169e07-ssl-df%22	https://zainx.netlify.com/js/animated.headline.js	website/portfolio2/zainx.netlify.com/js/animated.headline.js	(from https://zainx.netlify.com/index2.html)
21:20:38	20216/20216	---M-Z	200	added ('OK')	application/javascript	etag:%22de7e372104543a7f474f79429d52f241-ssl-df%22	https://zainx.netlify.com/js/jquery.magnific-popup.min.js	website/portfolio2/zainx.netlify.com/js/jquery.magnific-popup.min.js	(from https://zainx.netlify.com/index2.html)
21:20:39	12597/12597	---M-Z	200	added ('OK')	application/javascript	etag:%228d856d04b0f859e53a1d7f4f1345beda-ssl-df%22	https://zainx.netlify.com/js/jquery.stellar.min.js	website/portfolio2/zainx.netlify.com/js/jquery.stellar.min.js	(from https://zainx.netlify.com/index2.html)
21:20:40	35445/35445	---M-Z	200	added ('OK')	application/javascript	etag:%220119263eb3ba56ad16a49087c0f79067-ssl-df%22	https://zainx.netlify.com/js/isotope.pkgd.min.js	website/portfolio2/zainx.netlify.com/js/isotope.pkgd.min.js	(from https://zainx.netlify.com/index2.html)
21:20:41	11730/11730	---M-Z	200	added ('OK')	application/javascript	etag:%2240d565a6eaa710c881eb6883fbbed444-ssl-df%22	https://zainx.netlify.com/js/validator.js	website/portfolio2/zainx.netlify.com/js/validator.js	(from https://zainx.netlify.com/index2.html)
21:20:42	4743/4743	---M-Z	200	added ('OK')	application/javascript	etag:%2202a82632be9afa2421ad3542a9507c75-ssl-df%22	https://zainx.netlify.com/js/scripts.js	website/portfolio2/zainx.netlify.com/js/scripts.js	(from https://zainx.netlify.com/index2.html)
21:20:44	51/51	---MCZ	200	added ('OK')	text/plain	date:Sat,%2011%20Jan%202020%2015:50:43%20GMT	https://fonts.googleapis.com/robots.txt		(from https://zainx.netlify.com/index2.html)
